input_url,video_id,title,license,delivery,variant,codec,width,height,fps,bitrate_kbps,bandwidth_bps,source_url,error
https://vimeo.com/1046923235,1046923235,Quality Assurance Is Key to Cosmetics Performance,by,dash,2160p,avc1.640034,3840,2160,,13529,13529000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673144~acl=%2Fb89c15aa-09bb-49f0-9c7d-096e22e52489%2Fpsid%3D46ca064ebad9496e1bfd498f01117797eac880b81779669544%2F%2A~hmac=85c510f72e4b3852fe3b07f6ba947ee73c1e05bf26ad4933bc3b2d18aed2f65e/b89c15aa-09bb-49f0-9c7d-096e22e52489/psid=46ca064ebad9496e1bfd498f01117797eac880b81779669544/v2/playlist/av/primary/sub/207068207-c-en-x-autogen/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~PHkV1NymFng9y9YUAHFE_5DLZKrSGkFbcwlfJC7L4GQ&qsr=1&r=dXM%3D&rh=1JMhjf,
https://vimeo.com/1048147895,1048147895,"""07930"" directed by Nastassia Winge, Looks by Kato Fierkens - with Mac Cosmetics NL",by,dash,2160p,avc1.640034,3840,2160,25,13882,13882000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673228~acl=%2F11130cd6-d9ee-4c87-acb6-5453ace671cc%2Fpsid%3D8125b7ad268db0d478438389a5a2c0bf99a4bfca1779669628%2F%2A~hmac=516dfcb9a4e31f044779ba3657ddc0491856a758c61a581ff9f68d780d215d64/11130cd6-d9ee-4c87-acb6-5453ace671cc/psid=8125b7ad268db0d478438389a5a2c0bf99a4bfca1779669628/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~xNKZOUWFi3c5SlPv7Cnbqu2hWBGcNVxvN1LemAft-Nw&qsr=1&r=dXM%3D&rh=JhTy0,
https://vimeo.com/1053020999,1053020999,ITW Blue Skincare,by,dash,3840p,avc1.640034,2160,3840,60,20634,20634000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673187~acl=%2Ff5990559-6014-48ea-9c3c-c2207251db0b%2Fpsid%3D8af0292ed83a4b4d57591b984163cdf1f7ddbe191779669587%2F%2A~hmac=3eec239f170cdae1a9fc41a36390cddfadca46d27fb38af28d87f743af880a1c/f5990559-6014-48ea-9c3c-c2207251db0b/psid=8af0292ed83a4b4d57591b984163cdf1f7ddbe191779669587/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=fr&omit=opus&pathsig=8c953e4f~oC94I61G18LBTbeqs8qRxL1FEilyX8s7q0g9HHiJpj4&qsr=1&r=dXM%3D&rh=ee0TX,
https://vimeo.com/1060434303,1060434303,Everyday makeup tutorial,,dash,3840p,avc1.640034,2160,3840,60,21816,21816000,https://skyfire.vimeocdn.com/1779673350-0xb213fb9fd34d88e2a50fb54b5f0ca24488babc78/5a472005-6519-4dac-8973-f1dd3903f077/psid=3902d51a35754f58002089ea0adccb23294dba6f1779669750/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~SRiM5sc4SB-qbhfO5KrX6nqSt_SaFqdQ7cGliUh829Q&qsr=1&r=dXM%3D&rh=2LLoMy,
https://vimeo.com/1071957829,1071957829,New Data on the State of Smoking in 2025,,dash,2160p,avc1.640034,3840,2160,,16175,16175000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673338~acl=%2F42ccffd6-c900-4d28-9e31-d17574cc3e9b%2Fpsid%3Ddd1fff1aa9bfd9dfe64598681c5ea24f4f9aa58a1779669738%2F%2A~hmac=4ef94177b683f2009da44caa25dfc47a078696c7d88db03adffd7ccfde321068/42ccffd6-c900-4d28-9e31-d17574cc3e9b/psid=dd1fff1aa9bfd9dfe64598681c5ea24f4f9aa58a1779669738/v2/playlist/av/primary/sub/223307121-en-x-autogen/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~QCNMehcvfnGiC9cvSYCB-e61kcbKT_lzT6PkkreQiKk&qsr=1&r=dXM%3D&rh=22uSh6,
https://vimeo.com/1072148595,1072148595,Sistema de depilación Velltec,by,dash,2160p,avc1.640034,3840,2160,,14067,14067000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673148~acl=%2F9f111830-e163-4511-9d6c-ba5dba6a6360%2Fpsid%3D0a57f741059897e3df2512213dc619655c22707f1779669548%2F%2A~hmac=1d2268975afc0bfaf5137788abdbac298bfb482dab7a54b8d91d2426c3ffc5e5/9f111830-e163-4511-9d6c-ba5dba6a6360/psid=0a57f741059897e3df2512213dc619655c22707f1779669548/v2/playlist/av/primary/sub/223441199-es-x-autogen/prot/cXNyPTE/playlist.mpd?locale=es&omit=opus&pathsig=8c953e4f~OgBAKIgahKhWhaca3A1fMTyGwGVODITL8nZFhxf7WqQ&qsr=1&r=dXM%3D&rh=3DVLRX,
https://vimeo.com/1075261593,1075261593,Aotea Skincare,,dash,2160p,avc1.640034,3840,2160,25,25756,25756000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673096~acl=%2F0c3e8f42-43fe-47af-bde8-1bae6fa16093%2Fpsid%3D58467772e7918b5af0a8a7edf1b3e3c5e4eda6511779669496%2F%2A~hmac=e26f8e373da5bbe33a5294bbf24777b0535aaaffc2701f1c25084970775e1643/0c3e8f42-43fe-47af-bde8-1bae6fa16093/psid=58467772e7918b5af0a8a7edf1b3e3c5e4eda6511779669496/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?omit=opus&pathsig=8c953e4f~G5f0mg3G993rA3yvH_bJxaK8RTRt1CKeH3YdSUKDkPs&qsr=1&r=dXM%3D&rh=3yFoxW,
https://vimeo.com/1078990193,1078990193,Lauren - Moisturizer,,dash,2160p,avc1.640034,3840,2160,24,11777,11777000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV,
https://vimeo.com/1081495521,1081495521,Aesop Perfume Concept Video,by,hls,1920p,avc1.640034,1920,1920,24,17880,17880000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673252~acl=%2Fc26c8cb5-3511-4c30-8ac5-c93634d725c1%2Fpsid%3D24b4c8936a048ee10374bb40d864df10e45385c81779669652%2F%2A~hmac=c0aacdf1bc0736236c7742f2b355d768d8db0d3743cfd1df24adade5a9dc2dbe/c26c8cb5-3511-4c30-8ac5-c93634d725c1/psid=24b4c8936a048ee10374bb40d864df10e45385c81779669652/v2/playlist/av/primary/prot/cXNyPTE/playlist.m3u8?locale=ko&omit=opus&pathsig=8c953e4f~l-xI0DkRE-KcG7PbWyeGq2BT-pIGch-3Qp-fza6hN40&qsr=1&r=dXM%3D&rh=2vBK6X&sf=fmp4,
https://vimeo.com/1081717488,1081717488,"BEGUILE, SWEET OUD - PERFUME CAMPAIGN",by,dash,2160p,avc1.640034,2880,2160,25,14631,14631000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673246~acl=%2F5894a3fb-2043-431c-ac5b-6a3381a89050%2Fpsid%3D3a38eb3b360f7ed75b9960a4b17aa90e94da96f11779669646%2F%2A~hmac=34ce2b172986328a0077ab03983b258eff554a36452b163f55bb09ce0a49dceb/5894a3fb-2043-431c-ac5b-6a3381a89050/psid=3a38eb3b360f7ed75b9960a4b17aa90e94da96f11779669646/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~Set4d1Yy00UmN7iydCJRh8If8SiHzxT8pk8RRqfcq6E&qsr=1&r=dXM%3D&rh=10ywNj,
